"project","path","type","name","status","for_packages","tag","extension","size","md5","sha1","sha256","sha512","mime_type","file_type","programming_language","is_binary","is_text","is_archive","is_media","is_legal","is_manifest","is_readme","is_top_level","is_key_file","detected_license_expression","detected_license_expression_spdx","license_detections","license_clues","percentage_of_license_text","compliance_alert","copyrights","holders","authors","package_data","emails","urls","extra_data","xlsx_errors"
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockAdcTemperatureSensor.d","file","MockAdcTemperatureSensor.d","requires-review",,"to",".d","569","0651cd19350978d4389ae0bd4eb7db50","d0ac452a0eecbcf92aaa1436d2606e8e4abb85ee","2afea049925e0ab238cac1ded53e6973241d92e7677b1260bb9cd757d7f319f4",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockExecutor.d","file","MockExecutor.d","requires-review",,"to",".d","490","a394b4bc76c64778cb1bac3549440627","164bb225114a2508e32208a2a4e2f2d34657ef1e","6334f69291445070cc9daf74cb510f39a2169818b3ba6483d44015a00cc7422c",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockIntrinsicsWrapper.d","file","MockIntrinsicsWrapper.d","requires-review",,"to",".d","530","b8fa03e2bc62074633cb7d29376b5879","4e36614be3621042ae67a0cbe2b05175e868e930","c00947d945d89c62303eaf235e88f56906e9c1f26380527c37d93dbf5af5d445",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockModel.d","file","MockModel.d","requires-review",,"to",".d","494","8fec00ed325f4e7bb9860a9ebe3a0472","8f43864f47abe44064395da22ca9c90b0bd7035b","fe7cc1c688daf5d80ef561624ae7528a9dae941d34f3672e8e319c83d1ebfb88",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockTaskScheduler.d","file","MockTaskScheduler.d","requires-review",,"to",".d","554","f852b679d0789ce4ce5ed9a3044a1a0d","65f41de375aac596411c26b20b488f1953c27aab","5c339ddae7abd9dca5689dcff2c220f8abcbb303f4d14347299ce8103a191bf6",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockTemperatureCalculator.d","file","MockTemperatureCalculator.d","requires-review",,"to",".d","561","79f5517f413d3b7ec985c04dae6ee48c","881d8efec608e2378c9dffcd59b5bc12f8be6642","e719ac21174519f206ab07bc5853d4399c2dcd2e6c04568958ccddb2dca02f6c",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockTemperatureFilter.d","file","MockTemperatureFilter.d","requires-review",,"to",".d","553","dc662e98e60c0542368aaa8c86529def","62bee4d362c38830636ea809f948d6729610f9e5","d1ca9594e9b32216b0c6d3e7691bbbed9d46202959294b5e6b1418b0441251d1",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockTimerConductor.d","file","MockTimerConductor.d","requires-review",,"to",".d","530","5d3370e596e8f9515ede8aabdf626462","35c9c9011ee7f15467c4d6f904702611edb275dd","49bbb62983e5f3dc384ce58f36fe07a2c13deff47f31a9f2b994e39e51be9bea",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockTimerConfigurator.d","file","MockTimerConfigurator.d","requires-review",,"to",".d","573","bbb39c0a581cac35d49b7b164cdc7f4a","5ebd06fec4574481150e5875b7cf573343d61b4e","7026b6f8b2a7f50f1dd106c987b45e4a85e8f04700397c5c20f8258eccfdb98e",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockTimerHardware.d","file","MockTimerHardware.d","requires-review",,"to",".d","550","312ab9ed06f3344e846708d595425459","11921303ec5a46457e3d3a8098f5d33418eefae0","97c2219b36b1f7a74cac8bdf64cfe1c7534a3febf11e7148cb33b1948887a47c",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
